      fo_v2	      Io_v2	      Eo_v2
  1.0505206e+003  1.2415931e-022  1.4606179e+003
  1.0588617e+003  2.2681893e-025  1.1974256e+003
  1.0632315e+003  3.4031359e-035  7.8147753e+003
  1.0658675e+003  8.3038462e-023  1.5816882e+003
  1.0666508e+003  1.9475082e-022  9.4779770e+002
  1.0676768e+003  3.7825031e-022  9.7612710e+002
  1.0701662e+003  2.4086811e-023  1.0166214e+003
  1.0715749e+003  2.8918735e-025  2.8774522e+003
  1.0721498e+003  3.1701462e-029  4.8448382e+003
  1.0730496e+003  9.6489331e-022  1.0166214e+003
  1.0825924e+003  5.3466197e-022  1.0692680e+003
  1.0854988e+003  1.0339018e-022  1.7147654e+003
  1.0965900e+003  5.0954119e-022  1.1340486e+003
  1.1038140e+003  2.2422256e-025  3.1012752e+003
  1.1095457e+003  3.0093957e-023  1.8598076e+003
  1.1129612e+003  1.5826296e-029  5.1560569e+003
  1.1140215e+003  5.6348103e-037  8.4300754e+003
  1.1150807e+003  8.8060125e-022  1.2109399e+003
  1.1381725e+003  1.6439148e-023  2.0167681e+003
  1.1382108e+003  3.5008967e-022  1.2999133e+003
  1.1405637e+003  4.1084622e-026  3.3366950e+003
  1.1569552e+003  1.8598559e-030  5.4782362e+003
  1.1661643e+003  2.5845164e-022  1.4009347e+003
  1.1715761e+003  1.6888042e-023  2.1855956e+003
  1.1820377e+003  1.4238994e-026  3.5836309e+003
  1.1991626e+003  3.5610600e-022  1.5139654e+003
  1.2025098e+003  4.0933539e-031  5.8112906e+003
  1.2099771e+003  4.0848799e-024  2.3662338e+003
  1.2209957e+003  6.9195730e-034  7.2517331e+003
  1.2284727e+003  9.3406973e-027  3.8419929e+003
  1.2374658e+003  1.1491568e-022  1.6389612e+003
  1.2380178e+003  3.5341038e-036  8.3418454e+003
  1.2456046e+003  1.6694726e-031  6.1551754e+003
  1.2536558e+003  1.8641433e-024  2.5586214e+003
  1.2773674e+003  1.5490994e-032  6.5098949e+003
  1.2800272e+003  2.5350078e-033  6.8754627e+003
  1.2801248e+003  1.4503716e-027  4.1116804e+003
  1.2813697e+003  6.9659331e-023  1.7758734e+003
  1.2819786e+003  8.4738212e-037  8.3724572e+003
  1.3028859e+003  1.6064947e-024  2.7626912e+003
  1.3312132e+003  7.9483924e-023  1.9246483e+003
  1.3372596e+003  4.2646098e-028  4.3925836e+003
  1.3386786e+003  4.1455227e-022  1.0524145e+003
  1.3415486e+003  1.0331879e-023  1.0523183e+003
  1.3580025e+003  3.2709906e-025  2.9783695e+003
  1.3730490e+003  3.5178660e-022  1.0710355e+003
  1.3873678e+003  2.1368759e-023  2.0852272e+003
  1.3930788e+003  4.3010976e-022  1.0821923e+003
  1.4001148e+003  2.3739923e-028  4.6845885e+003
  1.4193380e+003  1.2594453e-025  3.2055745e+003
  1.4502396e+003  1.0841248e-023  2.2575463e+003
  1.4687834e+003  3.1259303e-029  4.9875887e+003
  1.4872744e+003  9.1765471e-026  3.4442149e+003
  1.5124622e+003  1.7975430e-037  8.7578588e+003
  1.5202795e+003  1.0386741e-023  2.4415360e+003
  1.5401478e+003  2.2692341e-037  8.5252956e+003
  1.5429025e+003  7.7710427e-030  5.3015071e+003
  1.5572891e+003  2.5720493e-034  7.4212934e+003
  1.5622146e+003  1.5822653e-026  3.6941891e+003
  1.5979730e+003  2.3506031e-024  2.6371200e+003
  1.6209088e+003  3.6322798e-030  5.6263297e+003
  1.6445933e+003  5.1662961e-027  3.9553860e+003
  1.6838124e+003  1.0057251e-024  2.8442142e+003
  1.6984290e+003  3.9598551e-031  5.9621477e+003
  1.7031915e+003  1.4658155e-037  8.6065331e+003
  1.7348807e+003  3.1957978e-027  4.2276895e+003
  1.7561616e+003  2.1831285e-033  7.0385462e+003
  1.7651034e+003  7.9392467e-032  6.3091975e+003
