      fo_rot	      Io_rot	      Eo_rot	    gNH3_rot	      gH2_rot	     gHe_rot
  4.2011255e+003  2.2448085e-023  1.0691529e+003  1.0323892e+001  1.7776684e+000  8.4358906e-001
  4.2017176e+003  2.2479120e-023  1.0695644e+003  1.0323892e+001  1.7776684e+000  8.4358906e-001
  4.2063528e+003  1.0218315e-023  1.0689786e+003  1.0323892e+001  1.7776684e+000  8.4358906e-001
  4.2378708e+003  1.3598133e-023  8.5311390e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  4.2439043e+003  1.3727116e-023  8.5241830e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  4.2619331e+003  3.3364091e-023  8.8412220e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  4.2620181e+003  3.3456407e-023  8.8457630e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  4.2720115e+003  1.3267201e-023  6.5564260e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  4.2788724e+003  1.3411560e-023  6.5485340e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  4.3033336e+003  7.3549428e-024  4.7735570e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  4.3110538e+003  7.4435361e-024  4.7647110e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  4.3261542e+003  1.7190135e-022  7.1155990e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  4.3948517e+003  4.6161435e-023  5.5052700e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  4.3960524e+003  4.4934436e-023  5.4996530e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  4.4702214e+003  3.7349027e-023  4.0085450e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  4.5466818e+003  7.2657307e-023  2.6443330e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  4.7042873e+003  1.4500377e-019  5.5052700e+002  8.5743000e+000  1.5620000e+000  8.0080000e-001
  4.7059514e+003  1.4537151e-019  5.3962840e+002  1.0133200e+001  1.6789000e+000  8.0620000e-001
  4.7086895e+003  2.9038842e-019  5.2142960e+002  1.1662200e+001  1.8438000e+000  8.1160000e-001
  4.7125717e+003  1.4301424e-019  4.9588280e+002  1.3610900e+001  1.9307000e+000  8.1700000e-001
  4.7174892e+003  1.3576233e-019  4.6291380e+002  1.5319800e+001  2.0596000e+000  8.2240000e-001
  4.7234346e+003  2.3598223e-019  4.2242960e+002  1.7208500e+001  2.2065000e+000  8.2770000e-001
  4.7303437e+003  7.9301116e-020  3.7431370e+002  1.9127200e+001  2.1855000e+000  8.3310000e-001
  4.7355480e+003  2.9361572e-019  5.5359970e+002  8.6342000e+000  1.5500000e+000  7.9540000e-001
  4.7363683e+003  1.4705483e-019  5.4996530e+002  8.5443000e+000  1.6789000e+000  8.0080000e-001
  4.7388808e+003  1.4749568e-019  5.3905160e+002  1.0223200e+001  1.6849000e+000  8.0620000e-001
  4.7431628e+003  2.9497098e-019  5.2082860e+002  1.1932000e+001  1.8048000e+000  8.1160000e-001
  4.7491679e+003  1.4530458e-019  4.9524180e+002  1.3461000e+001  1.8977000e+000  8.1700000e-001
  4.7571022e+003  1.3812723e-019  4.6221980e+002  1.5289800e+001  2.0536000e+000  8.2240000e-001
  4.7670790e+003  2.4048018e-019  4.2166490e+002  1.7058600e+001  2.1736000e+000  8.2770000e-001
  4.7792911e+003  8.1017586e-020  3.7345590e+002  1.8857400e+001  2.2125000e+000  8.3310000e-001
  4.8323579e+003  1.9314314e-023  1.2435791e+003  1.0323892e+001  1.7776684e+000  8.4358906e-001
  4.8382289e+003  1.9457153e-023  1.2429744e+003  1.0323892e+001  1.7776684e+000  8.4358906e-001
  4.8409658e+003  3.2906319e-023  1.0802344e+003  1.0323892e+001  1.7776684e+000  8.4358906e-001
  4.8410319e+003  3.2860888e-023  1.0798335e+003  1.0323892e+001  1.7776684e+000  8.4358906e-001
  4.8783257e+003  2.8885461e-023  1.0077186e+003  1.0323892e+001  1.7776684e+000  8.4358906e-001
  4.8851708e+003  2.9132603e-023  1.0070157e+003  1.0323892e+001  1.7776684e+000  8.4358906e-001
  4.9214592e+003  3.1447006e-023  7.9069520e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  4.9615235e+003  1.9461634e-023  5.9271030e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  4.9704986e+003  1.9677925e-023  5.9179370e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  4.9739016e+003  5.9769455e-023  7.0744510e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  5.0462481e+003  5.9030885e-023  5.3962840e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  5.1286818e+003  1.6771785e-022  3.8252510e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  5.2112751e+003  1.4463696e-023  2.3861490e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  5.2155385e+003  1.4634547e-023  2.3785930e+002  1.0323892e+001  1.7776684e+000  8.4358906e-001
  5.2807581e+003  1.8611411e-019  7.1155990e+002  8.9041000e+000  1.3101000e+000  8.1070000e-001
  5.2813922e+003  9.3471518e-020  7.0795330e+002  7.0153000e+000  1.5650000e+000  8.0860000e-001
  5.2833396e+003  9.4706393e-020  6.9712370e+002  8.5443000e+000  1.5859000e+000  8.0650000e-001
  5.2866002e+003  1.9305422e-019  6.7904340e+002  1.0073300e+001  1.6729000e+000  8.0440000e-001
  5.2910320e+003  9.8192722e-020  6.5365700e+002  1.1842100e+001  1.7688000e+000  8.0230000e-001
  5.2967826e+003  9.8736857e-020  6.2089970e+002  1.3401100e+001  1.8857000e+000  8.0020000e-001
  5.3037603e+003  1.9190191e-019  5.8067760e+002  1.5589600e+001  2.0326000e+000  7.9810000e-001
  5.3102571e+003  9.4553867e-020  7.0744510e+002  7.1352000e+000  1.4720000e+000  8.0860000e-001
  5.3119401e+003  8.5502595e-020  5.3287590e+002  1.6549000e+001  2.1706000e+000  7.9600000e-001
  5.3129531e+003  9.5803042e-020  6.9660200e+002  8.6642000e+000  1.5200000e+000  8.0650000e-001
