Frequency (Hz),N,M,L,Absorption (dB/km),2_ Absorption ,Refraction,2_ Refraction,Pressure (bars),2_ Pressure ,Temperature K,2_ Temperature ,2_ Dielectric,2_ Transmissivity,2_ Instrumentation _wave ,Argon Refrac,2_ Refraction Ar,T Argon K,P Argon (bars) ,Ideal H2O conc,Ideal He conc,Ideal H2 conc,H2O Hygrometer Partial Pressure (mbars),2_ Hygrometer ,H2 density (g/m**3),He density (g/m**3),H2O density (g/m**3),X H2O ,X He mole fraction,X H2 mole fraction,Quality Flag
3440154981,0,2,4,0.207009976,0.210872823,2807.112073,0.66628797,20.9226996,0.041367899,376.2208333,0.901023611,7.16276E-06,0.210829682,0.000742364,2810.68868,0.66632252,376.05,14.158,0.015399542,0.132921062,0.851679396,NaN,0,1132.696604,350.9908933,186.4261365,0.015681108,0.13288305,0.851435842,0
4307317502,0,2,6,0.46188068,0.443192004,2807.86194,0.6663368,20.9226996,0.041367899,376.2208333,0.901023611,3.50231E-05,0.443058039,0.001789667,2809.671005,0.666394207,376.15,14.1605,0.015399542,0.132921062,0.851679396,NaN,0,1132.696604,350.9908933,186.4261365,0.015681108,0.13288305,0.851435842,0
5067324121,0,3,6,0.310637803,0.146982708,2807.170045,0.666525362,20.9226996,0.041367899,376.2208333,0.901023611,3.07071E-06,0.146580147,0.001900411,2807.118037,0.666735362,376.15,14.1575,0.015399542,0.132921062,0.851679396,NaN,0,1132.696604,350.9908933,186.4261365,0.015681108,0.13288305,0.851435842,0
5287580414,0,2,8,0.624533961,0.486356885,2811.750196,0.666788128,20.9226996,0.041367899,376.2208333,0.901023611,2.95998E-06,0.486297511,0.003182219,2810.918411,0.666687241,376.2,14.157,0.015399542,0.132921062,0.851679396,NaN,0,1132.696604,350.9908933,186.4261365,0.015681108,0.13288305,0.851435842,0
5923127791,0,3,8,0.538495017,0.279922099,2809.149053,0.666646644,20.9226996,0.041367899,376.2208333,0.901023611,8.63613E-06,0.279377634,0.001929583,2809.103341,0.666683156,376.15,14.155,0.015399542,0.132921062,0.851679396,NaN,0,1132.696604,350.9908933,186.4261365,0.015681108,0.13288305,0.851435842,0
1500648740,0,1,1,0.023546411,0.024284236,5206.251773,0.6671007,48.98963814,0.041367899,376.15,0.901,1.87746E-06,0.024243923,0.00014841,5203.643509,0.667326989,376.3,26.24703919,0.006576901,0.134112118,0.859310981,NaN,0,2620.520083,812.0256396,186.4261365,0.006838908,0.134076747,0.859084345,0
1804155697,0,1,2,0.034603603,0.083283684,5214.755525,0.667078062,48.98963814,0.041367899,376.15,0.901,2.0904E-06,0.083277563,0.000483565,5212.200038,0.667164727,376.3,26.24327954,0.006576901,0.134112118,0.859310981,NaN,0,2620.520083,812.0256396,186.4261365,0.006838908,0.134076747,0.859084345,0
2219570509,0,1,3,0.072775173,0.109909023,5220.935473,0.66714759,48.98963814,0.041367899,376.15,0.901,4.20759E-06,0.109903195,0.000881893,5217.672216,0.667331322,376.35,26.24286833,0.006576901,0.134112118,0.859310981,NaN,0,2620.520083,812.0256396,186.4261365,0.006838908,0.134076747,0.859084345,0
2786803077,0,2,2,0.08878277,0.057671779,5206.855896,0.667095326,48.98963814,0.041367899,376.15,0.901,3.19688E-07,0.057649678,0.000425055,5205.156791,0.667153762,376.25,26.24204763,0.006576901,0.134112118,0.859310981,NaN,0,2620.520083,812.0256396,186.4261365,0.006838908,0.134076747,0.859084345,0
3072115023,0,2,3,0.145587632,0.173885924,5211.617124,0.667155641,48.98963814,0.041367899,376.15,0.901,4.94712E-07,0.173298956,0.000575796,5209.841061,0.667123152,376.25,26.24105416,0.006576901,0.134112118,0.859310981,NaN,0,2620.520083,812.0256396,186.4261365,0.006838908,0.134076747,0.859084345,0
